order_id,order_detail_id,product_id,unit_price,order_qty,line_total
43667,77,710,5.7,3,17.1
43666,71,764,419.4589,1,419.4589
43661,15,745,809.76,1,809.76
43659,1,776,2024.994,1,2024.994
43671,115,753,2146.962,1,2146.962
43662,30,764,419.4589,3,1258.3767
43665,61,711,20.1865,2,40.373
43663,52,760,419.4589,1,419.4589
43667,78,773,2039.994,1,2039.994
43666,72,753,2146.962,1,2146.962
43661,16,743,714.7043,1,714.7043
43659,2,777,2024.994,3,6074.982
43671,116,714,28.8404,2,57.6808
43662,31,770,419.4589,5,2097.2945
43665,62,773,2039.994,1,2039.994
43670,111,710,5.7,1,5.7
43667,79,778,2024.994,1,2024.994
43666,73,732,356.898,1,356.898
43661,17,747,714.7043,2,1429.4086
43659,3,778,2024.994,1,2024.994
43671,117,756,874.794,1,874.794
43662,32,730,183.9382,2,367.8764
43665,63,707,20.1865,1,20.1865
43670,112,709,5.7,2,11.4
43667,80,775,2024.994,1,2024.994
43666,74,756,874.794,1,874.794
43661,18,712,5.1865,4,20.746
43659,4,771,2039.994,1,2039.994
43671,118,768,419.4589,2,838.9178
43662,33,754,874.794,4,3499.176
43665,64,715,28.8404,2,57.6808
43670,113,773,2039.994,2,4079.988
43669,110,747,714.7043,1,714.7043
43666,75,768,419.4589,2,838.9178
43661,19,715,28.8404,4,115.3616
43659,5,772,2039.994,1,2039.994
43671,119,732,356.898,2,713.796
43662,34,725,183.9382,3,551.8146
43665,65,777,2024.994,2,4049.988
43670,114,776,2024.994,1,2024.994
43684,243,754,874.794,2,1749.588
43666,76,766,419.4589,1,419.4589
43661,20,742,722.5949,2,1445.1898
43659,6,773,2039.994,2,4079.988
43671,120,763,419.4589,2,838.9178
43662,35,762,419.4589,5,2097.2945
43665,66,712,5.1865,2,10.373
43681,204,715,28.8404,6,173.0424
43684,244,762,419.4589,2,838.9178
43668,81,756,874.794,3,2624.382
43661,21,775,2024.994,3,6074.982
43659,7,774,2039.994,1,2039.994
43671,121,755,874.794,2,1749.588
43662,36,765,419.4589,3,1258.3767
43665,67,775,2024.994,2,4049.988
43681,205,762,419.4589,5,2097.2945
43684,245,760,419.4589,1,419.4589
43668,82,753,2146.962,2,4293.924
43661,22,778,2024.994,2,4049.988
43659,8,714,28.8404,3,86.5212
43671,122,764,419.4589,2,838.9178
